name,label,pathname
Michael Jackson - Beat It (Official 4K Video),0,songs/song_1_mfcc.csv
Michael Jackson - She's Trouble (Demo - Official Audio),0,songs/song_2_mfcc.csv
Michael Jackson - Sunset Driver (Demo - Official Audio),0,songs/song_3_mfcc.csv
Michael Jackson - Thriller (Official 4K Video),0,songs/song_4_mfcc.csv
Michael Jackson - Smooth Criminal | Dance Video,0,songs/song_5_mfcc.csv
Michael Jackson - Bad (Shortened Version),0,songs/song_6_mfcc.csv
Michael Jackson - Don’t Stop 'Til You Get Enough (Official Video),0,songs/song_7_mfcc.csv
Michael Jackson - Carousel (Official Audio),0,songs/song_8_mfcc.csv
Michael Jackson - Loving You (Official Audio),0,songs/song_9_mfcc.csv
Man in the Mirror (2012 Remaster),0,songs/song_10_mfcc.csv
Michael Jackson - Billie Jean (Official Video),0,songs/song_11_mfcc.csv
Michael Jackson - They Don’t Care About Us (Brazil Version) (Official Video),0,songs/song_12_mfcc.csv
Black or White,0,songs/song_13_mfcc.csv
Michael Jackson - The Girl Is Mine (Audio),0,songs/song_14_mfcc.csv
Another Part of Me (2012 Remaster),0,songs/song_15_mfcc.csv
Michael Jackson - Speechless (Audio),0,songs/song_16_mfcc.csv
Michael Jackson - She Drives Me Wild (Audio),0,songs/song_17_mfcc.csv
Michael Jackson - Will You Be There (Official Video),0,songs/song_18_mfcc.csv
Michael Jackson - Human Nature (Audio),0,songs/song_19_mfcc.csv
Michael Jackson - Someone Put Your Hand Out (Audio),0,songs/song_20_mfcc.csv
Aaiye Meherbaan | Asha Bhosle  | Madhubala | Ashok Kumar  | Howrah Bridge-1958,1,songs/song_21_mfcc.csv
Mausam Mastana Rasta Anjana | Ranjeeta | Satte Pe Satta | Asha Bhosle | R.D. Burman,1,songs/song_22_mfcc.csv
Ye Hai Reshmi Zulfon Ka Andhera | Mere Sanam | Asha Bhonsle | Mumtaz,1,songs/song_23_mfcc.csv
Dum Maro Dum | Hare Rama Hare Krishna-1971 | Asha Bhosle | Zeenat Aman | Dev Anand,1,songs/song_24_mfcc.csv
Kya Ghazab Karte Ho Ji | Asha Bhosle | Love Story Songs | Kumar Gaurav | Vijeta Pandit | Aruna Irani,1,songs/song_25_mfcc.csv
Aaj Koi Pyar Se | Mumtaz | Asha Bhosle | Sawan Ki Ghata-1966 | Evergreen Songs,1,songs/song_26_mfcc.csv
Zindagi Ek Safar Hai Suhana | Andaz (1971) | Hema Malini | Rajesh Khanna | Asha Bhosle |,1,songs/song_27_mfcc.csv
Kaun Aaya Ki Nigahon Mein Chamak Jaag Uthi | Waqt | Sadhana | Asha Bhosle,1,songs/song_28_mfcc.csv
Chehare Pe Kushi Chhaa Jaati Hai | Waqt 1965 | Asha Bhosle | Sunil Dutt | Romantic Songs,1,songs/song_29_mfcc.csv
"Aao Na Gale Lagalo Na   Helan, Asha Bhosle, Mere Jeevan Saathi Song   YouTube",1,songs/song_30_mfcc.csv
Asha Bhosle - In Ankhon Ki Masti | Umrao Jaan | Ft - Monica Bellucci | Kazinama,1,songs/song_31_mfcc.csv
Koi Sehri Babu Dil Lehri Babu | Full 4K Video Song | Mumtaz - Loafer,1,songs/song_32_mfcc.csv
Bhanwara Bada Nadaan with lyrics | भँवरा बड़ा नादान गाने के बोल | Sahib Bibi Aur Ghulam,1,songs/song_33_mfcc.csv
Aao Huzoor Tumko with Lyrics by Asha Bhosle,1,songs/song_34_mfcc.csv
Umrao Jaan (1981): Dil Cheez Kya Hai Aap Meri Jaan Leejaye,1,songs/song_35_mfcc.csv
Raat Akeli Hai - Song | Jewel Thief (1967),1,songs/song_36_mfcc.csv
Jhumka Gira Re - Asha Bhosle,1,songs/song_37_mfcc.csv
O Saathi Re,1,songs/song_38_mfcc.csv
Hungama Ho Gaya,1,songs/song_39_mfcc.csv
Paan Khaye Saiyan Hamaro(Color) 1080P Revival Audio,1,songs/song_40_mfcc.csv
O MERE DIL KE CHAIN - Rajesh Khanna-Kishore Kumar Romantic Song - Tanuja - Mere Jeevan Saathi Songs,2,songs/song_41_mfcc.csv
Kora Kagaz Tha Yeh Man Mera 4K Video Song | Lata Mangeshkar| Kishore Kumar | Aradhana| Rajesh Khanna,2,songs/song_42_mfcc.csv
Yeh Shaam Mastani 4K | Kishore Kumar | Rajesh Khanna | Kati Patang | Classic Bollywood 4K Video Song,2,songs/song_43_mfcc.csv
Hum Dono Do Premi Song 4K Quality | Lata Mangeshkar | Kishore Kumar | Rajesh Khanna | Zeenat Aman,2,songs/song_44_mfcc.csv
Mere Sapno Ki Rani 4K Song : मेरे सपनो की रानी | आराधना | राजेश खन्ना - शर्मिला टैगोर - किशोर कुमार,2,songs/song_45_mfcc.csv
"आपकी आँखों में कुछ 4K Song: Ghar | Kishore K, Lata Mangeshkar | R D Burman Hits | Vinod Mehra, Rekha",2,songs/song_46_mfcc.csv
Jab Dard Nahin Tha [4K] Video Song : राजेश खन्ना | अनुरोध 1977 | किशोर कुमार | Classic Sad Song,2,songs/song_47_mfcc.csv
Mere Mehboob Qayamat Hogi  (Original) - Mr. X In Bombay - Kishore Kumar's Greatest Hits - Old Songs,2,songs/song_48_mfcc.csv
"Mere Samne Wali Khidki Mein - Padosan - Saira Banu, Sunil Dutt & Kishore Kumar - Old Hindi Songs",2,songs/song_49_mfcc.csv
Kisi Ki Muskurahaton Pe Ho Nisar | Raj Kapoor | Anari | Mukesh | Evergreen Hindi Songs HD,2,songs/song_50_mfcc.csv
"Ek Ajnabee Haseena Se | 4K Video | Ajanabee | Rajesh Khanna, Zeenat Aman | Kishore Kumar | 90s Hits",2,songs/song_51_mfcc.csv
Bachna Ae Hasinon Lo Main Aa Gaya,2,songs/song_52_mfcc.csv
Ek Ladki Bheegi Bhaagi Si | Kishore Kumar | Madhubala | Chalti Ka Naam Gaadi (1958) | Old Hit Song,2,songs/song_53_mfcc.csv
Roop Tera Mastana 4K Song | Aradhana Movie | Rajesh Khanna | Sharmila Tagore | Kishore Kumar,2,songs/song_54_mfcc.csv
PHOOLON KE RANG SE DIL KI KALAM SE,2,songs/song_55_mfcc.csv
Raat Kali Ek Khwab Mein | RD Burman | Navin Nischol | Archana | Kishore K - HD Video,2,songs/song_56_mfcc.csv
Are Diwano Mujhe Pehchano | Don | Amitabh Bachchan & Zeenat Aman | Kishore Kumar,2,songs/song_57_mfcc.csv
Zindagi Ek Safar Hai Suhana - Lyrical | Kishore Kumar | Hema Malini | Rajesh Khanna | Andaz (1971),2,songs/song_58_mfcc.csv
Kishore Kumar : Musafir Hoon Yaaron | Jeetendra | Old Hindi Song,2,songs/song_59_mfcc.csv
"छोड़ दो आँचल ज़माना - Chhod Do Aanchal Zamana -  HD वीडियो सोंग - आशा भोंसले, किशोर कुमार",2,songs/song_60_mfcc.csv
"Geet Gata Hoon Main | Kishore Kumar | Lal Patthar | Vinod Mehra, Raaj Kumar",2,songs/song_61_mfcc.csv
ये क्या हुआ कैसे हुआ 4K - Ye Kya Hua Kaise Hua 4K Video Song- राजेश खन्ना - किशोर कुमार - अमर प्रेम,2,songs/song_62_mfcc.csv
"Apsara Aali Full Song | Natarang | Sonalee Kulkarni, Ajay Atul | Marathi Songs",3,songs/song_63_mfcc.csv
Wajle Ki Bara | Natarang | Amruta Khanvilkar | Ajay-Atul | Lavani Songs,3,songs/song_64_mfcc.csv
Nad Khula - Master Eke Master - Lavani - Marathi Song - Sumeet Music,3,songs/song_65_mfcc.csv
"Kashyala Lavato (Lavani Song) - Poshter Girl | Superhit Marathi Song | Rasika | Amitraj, Bela Shende",3,songs/song_66_mfcc.csv
"Madanmanjiri | Phullwanti | Prajaktta Mali, Gashmeer Mahajani | Vaishali Made, Avinash Vishwajeet",3,songs/song_67_mfcc.csv
Tumhi Yetana Kela Eshara - Full Video | Farzand | Mrunmayee Deshpande | Vaishali Samant,3,songs/song_68_mfcc.csv
Mi Chhattis Nakharewali - Makrand Anaspure - Gadhavache Lagna (Lavani),3,songs/song_69_mfcc.csv
"Lavani - Full Song | Zapatlela 2 | Adinath Kothare, Sonalee Kulkarni",3,songs/song_70_mfcc.csv
Indra Darbari Nache Sundari - Sonalee Kulkarni - Gadhavache Lagna,3,songs/song_71_mfcc.csv
Reshamachya Reghanni  Lal Kalya Dhagyani - Asha Bhosale,3,songs/song_72_mfcc.csv
Chandra Official Song | Chandramukhi | Marathi Song 2022 | Ajay - Atul feat. Shreya Ghoshal | Amruta,3,songs/song_73_mfcc.csv
Chala Jejuri La Jaau Navra Mazha Navsacha KS CREATION,3,songs/song_74_mfcc.csv
Amhi Nahi Ja (Lavani Song) - Ideachi Kalpana | Marathi Lavani Songs | Swapnil Joshi,3,songs/song_75_mfcc.csv
Lyrical: Mala Jau De | Ferrari Ki Sawaari | Vidya Balan | Urmila Dhangar | Pritam,3,songs/song_76_mfcc.csv
"Tumhavar Keli Mi Marji Bahal- OfficialTrailer | Shahanpan Dega Deva | Manva Naik, Kranti Redkar",3,songs/song_77_mfcc.csv
छबीदार छबीदार | Pinjra | Sandhya | Super Hit Marathi Movie Song | SuperHit Marathi Movie Song,3,songs/song_78_mfcc.csv
"Latpat Latpat Tujha Chaalan Ga - Lata Mangeshkar - AMAR BHOOPALI - Lalita Pawar, Sandhya",3,songs/song_79_mfcc.csv
"कुण्या गावाचं आलं पाखरु - Full Song - Superhit Marathi Song - Sushila - Ashok Saraf, Ranjana",3,songs/song_80_mfcc.csv
Mala Lagali Kunachi Uchki  | SuperHit Marathi Movie Song | Pinjara | Marathi Song,3,songs/song_81_mfcc.csv
Solava Varis Dhokyacha | Lavni | सोळावं वरीस धोक्याचं | लावणी | STK,3,songs/song_82_mfcc.csv
Jana Gana Mana All Vocals,4,songs/song_83_mfcc.csv
Jana Gana Mana (HD) - National Anthem With Lyrics - Best Patriotic Song,4,songs/song_84_mfcc.csv
"जन गण मन I Jan Gan Man I MAHENDRA KAPOOR I राष्ट्र गान, राष्ट्रीय गीत, Independence Day Special 2018",4,songs/song_85_mfcc.csv
Jana Gana Mana | National Anthem | Independence Day Special | Full Song | Bapu  | WowKidz,4,songs/song_86_mfcc.csv
Jana Gana Mana All India Muslim league national anthem Original version,4,songs/song_87_mfcc.csv
JANA GANA MANA 🇮🇳 Indian National Anthem LYRICAL 🇮🇳Independence Day Special 🇮🇳 Suprabha KV,4,songs/song_88_mfcc.csv
Indian National Anthem | Jana Gana Mana | Vocals and Lyrics,4,songs/song_89_mfcc.csv
Indian National Anthem | Instrumental,4,songs/song_90_mfcc.csv
Jana Gana Mana 52 seconds  (National Anthem of India),4,songs/song_91_mfcc.csv
National Anthem by Symphony Orchestra of India,4,songs/song_92_mfcc.csv
Jana Gana Mana | WIFT India National Anthem,4,songs/song_93_mfcc.csv
Jana Gana Mana   Indian Army,4,songs/song_94_mfcc.csv
Jana Gana Mana | Lata Mangeshkar | National Anthem Jana Gana Mana | Jana Gana Mana Lata Mangeshkar,4,songs/song_95_mfcc.csv
Jana Gana Mana (4K) - National Anthem | Tribute to Indian Army,4,songs/song_96_mfcc.csv
National Anthem - Tribute To Women In Police Force,4,songs/song_97_mfcc.csv
India National Anthem (Instrumental),4,songs/song_98_mfcc.csv
Alia Bhatt Sang National Anthem at pro kabddi league,4,songs/song_99_mfcc.csv
Tulsi Kumar singing National Anthem at #VivoProKabaddiLeague2019,4,songs/song_100_mfcc.csv
National Anthem in Rabindranath Tagore's  Real Voice | रवींद्रनाथ टैगोर की असली आवाज में राष्ट्रगान,4,songs/song_101_mfcc.csv
National Anthem by neha kakkar hd,4,songs/song_102_mfcc.csv
National Anthem in the voice of Amitabh Bachchan,4,songs/song_103_mfcc.csv
Indian 🇮🇳 National Anthem // Jana Gana Mana // Instrumental Guitar Cover // #75thindependenceday,4,songs/song_104_mfcc.csv
Jeevanat hee ghadi - Kamapurta Mama,5,songs/song_105_mfcc.csv
"Dev Jari Maj Kadhi Bhetala - Asha Bhosle, Molkarin, Song 1",5,songs/song_106_mfcc.csv
Kokil Kuhu Kuhu Bole - Lata Mangeshkar | Kanyadaan | Marathi Movie Romantic Song,5,songs/song_107_mfcc.csv
"Dhund Ekant Ha - Anolkhi Marathi Movie | Juni Marathi Gani | Asha Bhosle, Sudhir Phadke",5,songs/song_108_mfcc.csv
"Pratham Tuzh Pahata - Arun Sarnaik, Ramdas Kamat, Mumbaicha Jawai Song",5,songs/song_109_mfcc.csv
CHANDANYAT PHIRTANA ASHA BHOSALE ORIGINAL,5,songs/song_110_mfcc.csv
काटा रुते कुणाला - Kata Rute Kunala - Pt. Jitendra Abhisheki,5,songs/song_111_mfcc.csv
Mendichya Panavar,5,songs/song_112_mfcc.csv
Vadal Vara Sutala Ga,5,songs/song_113_mfcc.csv
Man Mandira - Shivam Mahadevan | Katyar Kaljat Ghusli | Shankar Mahadevan & Sachin Pilgaonkar,5,songs/song_114_mfcc.csv
Aakashi Zhep Ghe Re Paakhara,5,songs/song_115_mfcc.csv
अगं साजणी गं | Pinjra | Nilu Phule | Sandhya | Super Hit Marathi Movie Song,5,songs/song_116_mfcc.csv
Phulale Re Kshan Majhe (Asha Bhosle),5,songs/song_117_mfcc.csv
raja lalkari ashi ghe-Are Sansar Sansar.mp4,5,songs/song_118_mfcc.csv
"धुंदी कळ्यांना, धुंदी फुलांना",5,songs/song_119_mfcc.csv
कानडा राजा पंढरीचा,5,songs/song_120_mfcc.csv
ॠणानुबंधाच्या जिथून पडल्या गाठी.. Kumar Gandharva_Vani Jairam_Bal Kolhatkar_Vasant Desai..a tribute,5,songs/song_121_mfcc.csv
Akashi Zep Ghere Pankhara,5,songs/song_122_mfcc.csv
Suman kalyanpur Tula Te Aathvel ka sare.wmv,5,songs/song_123_mfcc.csv
Kevhatari Pahate Ultoon Raat Geli,5,songs/song_124_mfcc.csv
तुला पाहिले मी नदीच्या किनारी | Tula Pahile Mi Nadichya Kinari - सुरेश वाडकर,5,songs/song_125_mfcc.csv
Maay Bhavani Tujhe Lekaru-Marathi Bhaktigeet-Shabbas Sunbai माय भवानी तुझे लेकरू-शाब्बास सूनबाई,5,songs/song_126_mfcc.csv
Vedha Vedha re Pandhari | Marathi Abhang | Vishwajeet Borwankar | Raja Phatak | Sant Tukaram,5,songs/song_127_mfcc.csv
